Course Title,Professors,Maximum Class Size,Initial Enrollment,Ending Enrollment
PATH*3610 Principles of Disease (0.5 Credits),"Lillie, B",300,299,283
PBIO*3750 Plant Tissue Culture (0.5 Credits),"Subramanian, J",25,14,13
PHIL*1000 Classic Thinkers (0.5 Credits),"Eardley, P",180,178,170
PHIL*1010 Social and Political Issues (0.5 Credits),"Freedman, K",400,399,391
"PHIL*1050 Ethics, Knowledge & Reality (0.5 Credits)","Bell, R",160,159,150
PHIL*2030 Philosophy of Medicine (0.5 Credits),"Skorburg, J",120,100,95
PHIL*2100 Critical Thinking (0.5 Credits),"Yakubu, Y",110,109,103
PHIL*2120 Ethics (0.5 Credits),"Dhanvantari, S",180,178,175
PHIL*2140 Ancient Greek Philosophy (0.5 Credits),"Hacker-Wright, J",60,59,57
PHIL*2180 Philosophy of Science (0.5 Credits),"Linquist, S",60,59,50
PHIL*2240 Knowledge & Belief (0.5 Credits),"Wayne, A",60,60,54
PHIL*2280 Concepts Political Philosophy (0.5 Credits),"Deveaux, M",116,114,101
PHIL*2800 Philosophy in Action (0.5 Credits),"Skorburg, J",20,19,19
PHIL*3040 Philosophy of Law (0.5 Credits),"Eardley, P",300,295,271
PHIL*3200 Continental Philosophy (0.5 Credits),"Dhanvantari, S",48,41,38
PHIL*3210 Women in History of Philosophy (0.5 Credits),"Ozalli, I",60,38,35
PHIL*3250 Philosophy of Language (0.5 Credits),"McCullagh, M",60,51,35
PHIL*3290 Advanced Ethical Theory (0.5 Credits),"Hacker-Wright, J",60,57,50
PHIL*3710 Directed Reading (0.5 Credits),,5,1,1
PHIL*4040 Adv. Phil. of the Environment (0.5 Credits),"Linquist, S",15,7,7
PHIL*4130 Current Debates in Cont Phil (0.5 Credits),"Dhanvantari, S",10,4,4
PHIL*4140 Current Debates in Phil of Sci (0.5 Credits),"McCullagh, M, Wayne, A",15,11,6
PHIL*4230 Crrnt Debates in Soc & Pol Phi (0.5 Credits),"Brennan, S",10,10,10
PHIL*4710 Directed Reading (0.5 Credits),,4,2,2
PHIL*4720 Directed Reading (0.5 Credits),,5,0,0
PHIL*4800 Honours Phil Research Paper I (0.5 Credits),,2,0,0
PHYS*1080 Physics for Life Sciences (0.5 Credits),"Howard, J, Qin, X",1200,1006,787
PHYS*1130 Intr Physics With Applications (0.5 Credits),"Ball, J",648,644,638
PHYS*1300 Fundamentals of Physics (0.5 Credits),"Massa, M",1482,1468,1245
PHYS*1500 Introductory Mechanics (0.5 Credits),"Massa, M",84,82,73
PHYS*1600 Contemporary Astronomy (0.5 Credits),"Nicol, E",400,397,396
PHYS*2240 Thermal Physics (0.5 Credits),"Dutcher, J",34,34,32
PHYS*2330 Electricity and Magnetism I (0.5 Credits),"O'Meara, J",55,54,52
PHYS*2600 General Astronomy (0.5 Credits),"Thomas, J",125,101,98
PHYS*3130 Mathematical Physics (0.5 Credits),"Garrett, P",30,23,23
PHYS*3170 Radiation Interactions (0.5 Credits),"Gellert, R",25,8,7
PHYS*3230 Quantum Mechanics I (0.5 Credits),"Poisson, E",30,27,24
PHYS*3400 Advanced Mechanics (0.5 Credits),"Garrett, P",25,13,12
PHYS*4001 Research in Physics (0.5 Credits),"Ladizhansky, V",20,6,6
PHYS*4180 Adv Electromagnetic Theory (0.5 Credits),"Jiang, D",25,10,10
PHYS*4240 Statistical Physics II (0.5 Credits),"Nicol, E",30,11,11
PHYS*4910 Advanced Topics in Physics I (0.5 Credits),"Kribs, D",10,4,4
POLS*1150 Understanding Politics (0.5 Credits),"Mohan, N",250,249,241
POLS*1500 World Politics (0.5 Credits),"McBurney, M",300,268,252
POLS*2200 International Relations (0.5 Credits),"Spears, I",260,206,178
POLS*2230 Public Policy (0.5 Credits),"Snow, A",260,260,246
POLS*2250 Public Admin & Governance (0.5 Credits),,180,114,102
POLS*2300 Cdn Government & Politics (0.5 Credits),"Small, T",300,299,271
POLS*2350 Law and Politics (0.5 Credits),"Baker, D",200,199,182
POLS*2650 Political Inquiry & Research (0.5 Credits),"Malloy-Weir, L",200,151,145
POLS*3020 Intl Law and Orgs (0.5 Credits),"Kochanski, A",110,106,98
POLS*3060 The Middle East & North Africa (0.5 Credits),"Altinkas, E",60,41,37
POLS*3080 Politics of Latin America (0.5 Credits),"Diez, J",60,31,22
"POLS*3130 Law, Pol & Judicial Process (0.5 Credits)","Snow, A",110,110,99
POLS*3160 Global Gender Justice (0.5 Credits),"Johnson, C",48,37,33
POLS*3210 The Constit & Can Federalism (0.5 Credits),"Simmons, J",250,239,211
POLS*3230 Modern Political Thought (0.5 Credits),"Lee, T",30,6,6
POLS*3250 Public Policy: Challenges & Pr (0.5 Credits),,110,110,106
POLS*3300 Governing Criminal Justice (0.5 Credits),"Wrathall, M",250,248,223
POLS*3320 Politics of Aid & Development (0.5 Credits),"Johnson, C",75,31,28
POLS*3340 Indigenous Politics in Canada (0.5 Credits),"Do, M",110,92,83
POLS*3370 Enviro Politics & Governance (0.5 Credits),"Sharma, A",250,249,230
POLS*3470 Bus/Gov't Relations in Canada (0.5 Credits),,90,43,37
POLS*3490 Conflict & Conflict Resolution (0.5 Credits),"Spears, I",100,100,98
POLS*3670 Comparative Public Policy (0.5 Credits),"Ho, C",110,84,72
"POLS*3710 Gender, Sexuality & Law (0.5 Credits)","Diez, J",50,39,35
POLS*3790 Intl Political Economy (0.5 Credits),"Sneyd, A",90,20,18
POLS*3850 Experiential Learning in Polit (0.5 Credits),,5,1,1
POLS*3890 Government & Politics of India (0.5 Credits),,0,0,0
POLS*3920 Politics of China (0.5 Credits),"Lee, T",30,10,5
POLS*3960 Sel Topics in Political Sci (0.5 Credits),,5,2,3
POLS*4020 Global Law and Courts (1 Credits),"Kochanski, A",20,19,18
POLS*4050 Adv Topics in Law & Politics (1 Credits),"Do, M",20,20,20
POLS*4060 Adv Lecture in Law & Politics (0.5 Credits),"Riddell, T",50,50,46
POLS*4710 Topics in Comparative Politics (1 Credits),"Koning, E",20,18,18
POLS*4740 Adv Topics: Rights & Liberties (1 Credits),"Johnson, C",20,20,20
POLS*4900 Seminar in Political Science (1 Credits),"Stienstra, D, Van Houten, K",35,18,18
POLS*4910 Sel Topics in Political Sci (0.5 Credits),,5,0,0
POLS*4930 Selected Topics in Poli Sci (1 Credits),,5,0,1
POLS*4970 Hons. Poli. Sci. Research I (0.5 Credits),,10,10,8
POLS*4980 Hons. Poli. Sci. Research II (0.5 Credits),,10,1,1
POPM*3240 Epidemiology (0.5 Credits),"Bauman, C",350,342,325
POPM*4040 Epidem of Food-borne Diseases (0.5 Credits),"Grant, L",100,62,54
POPM*4230 Animal Health (0.5 Credits),"Deckert, A",142,140,132
PSYC*1000 Introduction to Psychology (0.5 Credits),"Giguere, B, Marmurek, H, Pitt, G",2000,1994,1909
PSYC*1010 Making Sense of Data (0.5 Credits),"Skakoon-Sparling, S",320,287,235
PSYC*1500 Foundational Skills in Psych (0.5 Credits),,301,298,281
PSYC*2020 Clinical Psyc & Mental Health (0.5 Credits),"Craig, S",380,377,363
PSYC*2070 Teams Leadership & Prof Beh (0.5 Credits),"Fiksenbaum, L",250,247,241
PSYC*2310 Social Psychology (0.5 Credits),"Safdar, S",380,341,312
PSYC*2330 Principles of Learning (0.5 Credits),"Collett, H",280,256,217
PSYC*2360 Psych Methods & Statistics (0.5 Credits),"Marmurek, H",300,300,288
PSYC*2410 Behavioural Neuroscience I (0.5 Credits),"Winters, B",280,258,244
PSYC*2740 Personality (0.5 Credits),"Hendry, C",400,395,380
PSYC*3000 Historical & Crit Persp on Psy (0.5 Credits),"Fabricius, A, O'Doherty, K",260,229,220
PSYC*3100 Evolutionary Psychology (0.5 Credits),"Barclay, P",220,187,162
PSYC*3240 Independent Research (0.5 Credits),,20,12,12
PSYC*3270 Cognitive Neuroscience (0.5 Credits),"Manwell, L",260,252,227
PSYC*3290 Statistical Analysis in Psych (0.5 Credits),"Fiacconi, C",266,232,219
PSYC*3330 Memory and Attention (0.5 Credits),"Manwell, L",120,119,110
PSYC*3490 Social & Organizational Psych (0.5 Credits),"Son Hing, L",120,98,96
PSYC*3570 Psychology of Death & Dying (0.5 Credits),"Pitt, G",500,494,478
PSYC*3800 Psychology and Education (0.5 Credits),"Lasenby-Lessard, J",500,496,479
PSYC*3910 Psychology Externship (0.5 Credits),,10,0,2
PSYC*4240 Adv Independent Research (0.5 Credits),,20,8,8
PSYC*4290 Psychological Measurement (0.5 Credits),"Spence, J",102,102,93
PSYC*4310 Adv Social/Applied Social Psyc (0.5 Credits),"Hanna, R",50,49,48
PSYC*4460 Adv Top in Clin & App Dvt Psyc (0.5 Credits),"Craig, S",40,40,37
PSYC*4540 Practical Applications of Psyc (1 Credits),"Meegan, D, Manwell, L",150,149,146
PSYC*4580 Spec Topics in Behav Sciences (0.5 Credits),"Al-Aidroos, N",45,36,32
PSYC*4780 Advanced Quantitative Methods (0.5 Credits),"Stanley, D",50,44,43
PSYC*4870 Honours Thesis I (0.5 Credits),"Skakoon-Sparling, S",50,44,43
PSYC*4880 Honours Thesis II (1 Credits),"Skakoon-Sparling, S",10,0,0
REAL*1820 Introduction to Real Estate (0.5 Credits),"Legge, L",115,115,115
REAL*2850 Service Learning in Housing (0.5 Credits),"Ellery, R",90,90,87
REAL*3810 Real Estate Market Analysis (0.5 Credits),"Mok, D",65,65,65
REAL*4820 Real Estate Appraisal (0.5 Credits),"deVries, D",70,70,58
REAL*4840 Housing & Real Estate Law (0.5 Credits),"Tran, H",65,61,61
REAL*4870 Sustainable Real Estate (0.5 Credits),"Legge, L",60,55,54
SART*1050 Foundation Studio (0.5 Credits),"Rechico, S",57,57,57
SART*1060 Core Studio (0.5 Credits),"Giroux, C",57,57,57
SART*2090 Drawing I (0.5 Credits),"Giroux, C",17,17,17
SART*2200 Painting I (0.5 Credits),"Everingham, S",34,34,34
SART*2300 Sculpture I (0.5 Credits),"Knowles, D",17,17,16
SART*2460 Printmaking I (0.5 Credits),"Gaby-Trotz, A",34,34,34
SART*2610 Photography I (0.5 Credits),"Dobson, S",17,17,17
SART*2800 Experimental Studio I (0.5 Credits),"Borsato, D",17,17,17
SART*3090 Drawing II (0.5 Credits),"Delisle, P",22,22,20
SART*3200 Painting II (0.5 Credits),"Carvalho, J",22,16,16
SART*3300 Sculpture II (0.5 Credits),"Kruger, N",18,11,11
SART*3600 Digital & Non-Silver Photo (0.5 Credits),"Dobson, S",18,17,17
SART*3660 Printmaking II (0.5 Credits),,18,18,18
SART*3770 Experimental Studio II (0.5 Credits),"Borsato, D",12,12,12
SART*3800 Experiential Learning I (0.5 Credits),,20,2,2
SART*3900 Experiential Learning II (0.5 Credits),,20,0,0
SART*4090 Drawing III (0.5 Credits),"Carney, C",22,22,22
SART*4200 Painting III (0.5 Credits),"Kissick, J",22,22,22
SART*4300 Sculpture III (0.5 Credits),"Knowles, D",18,12,12
SART*4810 Experimental Studio III (0.5 Credits),"Borsato, D",6,1,1
SART*4900 Critical Practices: Studio Art (1 Credits),"Kissick, J",20,14,14
SOAN*2111 Classical Theory (0.5 Credits),"Wilson, E, Sidhu, T",280,248,232
SOAN*2120 Introductory Methods (0.5 Credits),"Walters, D",380,374,347
SOAN*2400 Introduction to Gender Systems (0.5 Credits),"Linares-Roake, J",100,100,98
"SOAN*3040 Globalization, Work & Orgs (0.5 Credits)","Rogers, S",60,57,55
SOAN*3100 Gender Perspectives/Families (0.5 Credits),"Srinivasan, S",70,57,45
SOAN*3120 Quantitative Methods (0.5 Credits),"Nevin, A, Holligan, S",323,323,316
SOAN*3240 Gender & Global Inequality I (0.5 Credits),"Kowalchuk, L",70,33,30
SOAN*3680 Perspectives on Development (0.5 Credits),"Hristov, J",50,15,13
SOC*1100 Sociology (0.5 Credits),"Horgan, M, Behnke-Cook, D",1000,996,971
SOC*1500 Crime and Criminal Justice (0.5 Credits),"Nevin, A, Tatham, C",1100,1097,1068
SOC*2010 Canadian Society (0.5 Credits),"Ross, B",60,60,60
SOC*2070 Social Deviance (0.5 Credits),"Parnaby, P",250,250,236
"SOC*2280 Society, Knowledge Sys & Env (0.5 Credits)","Varghese, J",120,89,78
SOC*2390 Class and Stratification (0.5 Credits),"Chou, E",110,101,89
SOC*2700 Criminological Theory (0.5 Credits),"Mitchell, A",300,193,166
SOC*2760 Homicide (0.5 Credits),"Dawson, M",400,343,303
SOC*3310 Contemporary Theory (0.5 Credits),"Liinamaa, S",182,168,163
SOC*3710 Youth Justice (0.5 Credits),"Sidhu, T",200,200,191
SOC*3740 Corrections and Penology (0.5 Credits),"Tatham, C",220,208,190
SOC*3750 Police in Society (0.5 Credits),"Parnaby, P",150,147,138
SOC*3850 Seminar in Sociology (0.5 Credits),"Varghese, J",35,12,11
SOC*3950 Special Projects in Sociology (0.5 Credits),,5,1,1
SOC*4010 Violence and Society (0.5 Credits),"Morton, M, Ellialti Kose, T",120,111,109
SOC*4030 Advanced Topics in Criminology (0.5 Credits),"Ellialti Kose, T",60,60,59
SOC*4130 Adv Sem in Violence & Society (1 Credits),"Dawson, M",20,19,19
SOC*4140 Victimology (1 Credits),"Ferguson, J",20,20,18
SOC*4150 Youth and Violence (1 Credits),"Ferguson, J",20,20,20
SOC*4170 Viol Against Women/Gendered (1 Credits),"Boyd, C",20,20,20
SOC*4320 Adv Sem in Criminal Justice (1 Credits),"Tatham, C",20,20,18
SOC*4340 Women & Criminal Justice Sys (1 Credits),"Morton, M",20,20,20
"SOC*4410 Women, Work & Public Policy (0.5 Credits)","Rose, D",30,29,27
SOC*4420 Sociology of Food (0.5 Credits),"MacDonald, K",30,27,26
SOC*4480 Moral Regulation (1 Credits),"Hathaway, A",20,20,20
SOC*4880 Special Projects in Sociology (0.5 Credits),,5,0,0
SOC*4890 Special Projects in Sociology (0.5 Credits),,5,0,0
SOC*4900 Honours Sociology Thesis I (0.5 Credits),,5,0,0
SOC*4910 Honours Sociology Thesis II (0.5 Credits),,5,0,0
SPAN*1100 Introductory Spanish I (0.5 Credits),"Henighan, S",100,100,74
SPAN*1500 Hispanic Film (0.5 Credits),"Yovanovich, G",50,48,46
SPAN*2000 Intermediate Spanish I (0.5 Credits),"Yovanovich, G",50,46,44
SPMT*1020 Sport Management Today (0.5 Credits),"Pegoraro, A",995,993,976
SPMT*2120 Understanding Sport Fandom (0.5 Credits),"Lebel, K",90,90,90
"SPMT*2220 Comm., Media Strategy in SPMT (0.5 Credits)","Lebel, K",100,61,57
SPMT*3020 Impact of Bus. on Sport Ind. (0.5 Credits),"Kennedy, H",100,70,69
SPMT*4040 Advanced Topics in Sport Mgmt (0.5 Credits),"McRoberts, S",80,25,25
SPMT*4080 Exprntl Learning/Leadership (0.5 Credits),"McRoberts, S",40,19,20
STAT*1200 Probability & Chance (0.5 Credits),"Umphrey, G",108,108,81
STAT*2040 Statistics I (0.5 Credits),"Balka, W",1115,1085,957
STAT*2050 Statistics II (0.5 Credits),"Bilayi-Biakana, C",108,107,84
STAT*2060 Stats for Business Decisions (0.5 Credits),"Bilayi-Biakana, C",610,609,521
STAT*2080 Intro Applied Statistics I (0.5 Credits),"Mohammad, N",250,217,201
STAT*2120 Prob & Stats for Engineers (0.5 Credits),"Herder, K",180,180,180
STAT*3100 Intro Mathematical Stats I (0.5 Credits),"Feng, Z",68,63,59
STAT*3210 Experimental Design (0.5 Credits),"Umphrey, G",40,39,28
STAT*3240 Applied Regression Analysis (0.5 Credits),"Balka, W",48,41,39
STAT*4000 Statistical Computing (0.5 Credits),"Acar, E",18,15,15
STAT*4350 Appl Multivar Stat Methods (0.5 Credits),"Acar, E",9,7,7
STAT*4360 Applied Time Series Analysis (0.5 Credits),"Slater, J",14,11,10
STAT*4600 Adv Research Project in Stats (1 Credits),"Desmond, A",15,0,0
SXGN*1000 Intro. to Sxgn (0.5 Credits),"Oliver, J",201,200,200
SXGN*2000 Sxgn: Research Methods (0.5 Credits),"Davies, A",50,30,29
SXGN*3000 Acts of Resistance (0.5 Credits),"Kechego-Nichols, S",40,21,19
THST*1040 Introduction to Performance (0.5 Credits),"Barnstaple, R",90,90,88
THST*1200 The Languages of Media (0.5 Credits),"Lipton, M",300,299,268
THST*2120 Writing for Performance (0.5 Credits),"Thompson, J",20,20,20
THST*2270 Theatre Research II (0.5 Credits),"Kuling, P",18,18,18
THST*2500 Contemporary Cinema (0.5 Credits),"Chang, E",200,198,186
THST*3000 Experiential Learning (0.5 Credits),"Hickson, S, Francis, K",21,13,15
THST*3010 Experiential Learning (0.5 Credits),"Francis, K",3,1,2
THST*3190 Theatre Workshop III (1 Credits),"Thompson, J",15,9,9
THST*3530 Canadian Cinema (0.5 Credits),"Duchesne, S",100,88,82
THST*4190 Theatre Workshop IV (1 Credits),"Thompson, J",15,9,8
THST*4500 Performance Theory&practice II (0.5 Credits),,0,0,0
TOX*2000 Principles of Toxicology (0.5 Credits),"Manderville, R",160,156,132
TOX*4000 Medical Toxicology (0.5 Credits),"Lepage, S",90,87,81
TOX*4590 Biochemical Toxicology (0.5 Credits),"Manderville, R",53,48,48
TOX*4900 Toxicology Research Project I (1 Credits),"Manderville, R",10,6,6
TOX*4910 Toxicology Research Project II (1 Credits),"Manderville, R",0,0,1
UNIV*1250 Exper Lrn Op I: Peer Helper (0 Credits),"Ruprecht, J",125,82,84
UNIV*1260 Exper Lrn Op II: Peer Helper (0 Credits),"Ruprecht, J",80,34,34
UNIV*2010 Anti-Discrim & Anti-Oppression (0.5 Credits),"Guerra, A",138,137,138
UNIV*2100 Career Ready (0.5 Credits),"Mac Donald, K",600,600,581
UNIV*2200 Towards Sustainability (0.5 Credits),"Jamal, A",100,57,56
UNIV*2250 Exper Lrn Op III: Peer Helper (0 Credits),"Ruprecht, J",120,40,40
UNIV*2260 Exper Lrn Op IV: Peer Helper (0 Credits),"Ruprecht, J",50,14,14
UNIV*2800 Independent Research (0.5 Credits),,40,2,2
UNIV*3800 Independent Research (0.5 Credits),,40,3,4
UNIV*4800 Independent Research (0.5 Credits),,0,0,2
VETM*3070 Veterinary Anatomy (2 Credits),,122,122,122
VETM*3080 Vet Physiology & Biochemistry (2 Credits),,122,122,122
VETM*3120 Vet Histology & General Path (0.75 Credits),,122,122,122
VETM*3210 Art of Veterinary Medicine I (0.5 Credits),,128,125,124
VETM*3220 Art of Veterinary Medicine II (0.5 Credits),,120,120,120
VETM*3390 Developmental Biology (0.5 Credits),,124,124,124
VETM*3400 Health Management I (0.75 Credits),,122,122,122
VETM*3410 Health Management II (0.75 Credits),,120,120,120
VETM*3430 Clinical Medicine I (0.25 Credits),,122,122,122
VETM*3440 Clinical Medicine II (0.5 Credits),,120,120,120
VETM*3450 Principles of Disease: Vet Med (2.75 Credits),,120,120,120
VETM*3460 Theriogenology (0.75 Credits),,120,120,120
VETM*3470 Anaesthesiology/Pharmacology (0.75 Credits),,120,120,120
VETM*3510 Principles of Surgery (0.25 Credits),,120,120,120
VETM*4220 Art of Veterinary Medicine III (0.5 Credits),,119,117,116
VETM*4420 Clinical Pharmacology (0.25 Credits),,124,117,116
VETM*4450 Equine Medicine and Surgery (0.5 Credits),,124,117,116
VETM*4460 Food Animal Medicine & Surgery (1 Credits),,120,117,117
VETM*4470 Medicine & Surgery: Dog & Cat (1 Credits),,124,117,116
VETM*4480 Comparative Medicine (0.75 Credits),,119,117,116
VETM*4490 Systems Pathology (1 Credits),,119,117,116
VETM*4530 Health Management III (0.5 Credits),,124,117,116
VETM*4540 Surgical Exercises (1.75 Credits),,119,117,117
VETM*4610 Small Animal Stream (7.5 Credits),,120,86,87
VETM*4660 Rural Commun Practice Stream (7.5 Credits),,120,17,17
VETM*4710 Food Animal Stream (7.5 Credits),,120,13,13
VETM*4870 Clinical Medicine III (0.25 Credits),,119,117,116
VETM*4900 Veterinary Externship (2.5 Credits),,120,120,120
VETM*4920 Equine Stream (7.5 Credits),,120,9,9
ZOO*2090 Vertebrate Structure & Functio (0.5 Credits),"Bernier, N",250,250,250
ZOO*3000 Comparative Histology (0.5 Credits),"Laberge, F",150,139,125
ZOO*3600 Comparative Animal Phys I (0.5 Credits),"Alderman, S",170,170,170
ZOO*3610 Lab Studies in Animal Phys I (0.25 Credits),,150,145,140
ZOO*3700 Integrative Biology of Inverte (0.5 Credits),"Smith, A",174,164,158
ZOO*4070 Animal Behaviour (0.5 Credits),"Norris, D",180,157,152
ZOO*4300 Marine Biology & Oceanography (0.75 Credits),"Crawford, S",40,9,9
ZOO*4910 Integrative Vertebrate Biology (0.5 Credits),"Kosmal, P",90,84,81
ZOO*4920 Lab Studies in Ornithology (0.25 Credits),"Tuttle-Raycraft, S",50,50,50
